SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1308321-1 2007 1 1 2700.00 0.00 -5934.00 -3234.00
1308321-1 2007 2 0 -6384.00 0.00 0.00 -6384.00
1308408-1 2007 1 1 26732.00 0.00 -26732.00 0.00
1309022-3 2010 0 1 0.00 0.00 0.00 0.00
1313544-3 2008 0 0 50000.00 0.00 -760.00 49240.00
1313544-3 2008 1 1 -49240.00 0.00 0.00 -49240.00
1315380-1 2007 1 0 25000.00 0.00 -1813.00 23187.00
1315380-1 2007 2 1 16313.00 0.00 -39500.00 -23187.00
1317096-2 2008 0 1 25000.00 0.00 -1980.00 23020.00
1317096-2 2008 1 0 -23020.00 0.00 0.00 -23020.00
1317294-1 2008 1 0 10000.00 0.00 0.00 10000.00
1317294-1 2008 2 0 0.00 0.00 -515.00 -515.00
1317294-1 2008 3 1 -9485.00 0.00 0.00 -9485.00
1318900-1 2007 0 1 4536.00 0.00 -4536.00 0.00
1319754-1 2007 0 1 8000.00 0.00 -6917.00 1083.00
1319754-1 2007 2 0 -1083.00 0.00 0.00 -1083.00
1319858-2 2008 0 1 0.00 0.00 0.00 0.00
1321286-1 2008 0 1 53058.00 0.00 -42776.00 10282.00
1321286-1 2008 3 0 -10282.00 0.00 0.00 -10282.00
1323499-2 2007 1 1 0.00 0.00 0.00 0.00
1333407-4 2009 0 1 30000.00 0.00 -1305.00 28695.00
1333407-4 2009 2 0 -28695.00 0.00 0.00 -28695.00
1337726-3 2008 1 0 200000.00 0.00 -3770.00 196230.00
1337726-3 2008 4 1 -196230.00 0.00 0.00 -196230.00
1343631-1 2008 0 0 10000.00 0.00 0.00 10000.00
1343631-1 2008 2 0 240000.00 0.00 0.00 240000.00
1343631-1 2008 4 1 -230000.00 0.00 -20000.00 -250000.00
1348823-2 2008 0 0 15000.00 0.00 -5245.00 9755.00
1348823-2 2008 1 1 -9755.00 0.00 0.00 -9755.00
1348823-4 2008 0 1 60000.00 0.00 0.00 60000.00
1348823-4 2008 1 0 25000.00 0.00 -7545.00 17455.00
1348823-4 2008 2 0 0.00 0.00 -22100.00 -22100.00
1348823-4 2008 3 0 -55355.00 0.00 0.00 -55355.00
1349772-3 2009 2 1 15000.00 0.00 -11743.00 3257.00
1349772-3 2009 3 0 -3257.00 0.00 0.00 -3257.00
