SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
2250543-3 2010 0 1 516.00 0.00 -516.00 0.00
2252519-4 2014 0 1 0.00 0.00 0.00 0.00
2252519-5 2014 0 1 7783.00 0.00 -7783.00 0.00
2257963-1 2011 2 1 23392.00 0.00 -23392.00 0.00
2260506-2 2014 0 1 15001.00 0.00 0.00 15001.00
2260506-3 2014 0 1 43302.00 0.00 -43302.00 0.00
2260968-1 2010 0 0 20000.00 0.00 0.00 20000.00
2260968-1 2010 1 0 185000.00 0.00 -21329.00 163671.00
2260968-1 2010 2 1 570000.00 0.00 -143359.30 426640.70
2260968-1 2010 3 0 0.00 0.00 -52346.25 -52346.25
2260968-1 2010 4 0 0.00 0.00 -81292.50 -81292.50
2262667-4 2009 1 0 300000.00 0.00 0.00 300000.00
2262667-4 2009 2 0 -150000.00 0.00 -18200.00 -168200.00
2262667-4 2009 4 1 -74237.50 0.00 -57562.50 -131800.00
2264063-1 2009 1 1 2000.00 0.00 -2000.00 0.00
2270982-2 2012 0 1 1708.00 0.00 -1708.00 0.00
2279563-2 2012 0 1 40000.00 0.00 -500.00 39500.00
2279563-2 2012 1 0 -39500.00 0.00 0.00 -39500.00
2279880-4 2013 0 1 40001.00 0.00 0.00 40001.00
2279880-4 2013 1 0 -35594.00 0.00 -4407.00 -40001.00
2281929-1 2010 0 0 225000.00 0.00 -50828.00 174172.00
2281929-1 2010 1 1 -174172.00 0.00 0.00 -174172.00
2284068-9 2011 0 0 5000.00 0.00 -8340.00 -3340.00
2284068-9 2011 1 1 5000.00 0.00 0.00 5000.00
2284068-9 2011 2 0 -1660.00 0.00 0.00 -1660.00
2286918-6 2012 0 1 3000.00 0.00 -3000.00 0.00
2287383-10 2013 0 1 40000.00 0.00 -2388.00 37612.00
2287383-10 2013 1 0 -37612.00 0.00 0.00 -37612.00
2288525-4 2011 0 1 70001.00 0.00 0.00 70001.00
2288525-4 2011 1 0 -30001.00 0.00 0.00 -30001.00
2288525-4 2011 2 0 -40000.00 0.00 0.00 -40000.00
2290031-1 2010 0 0 7550.00 0.00 -7550.00 0.00
2290031-1 2010 1 1 6800.00 0.00 -6800.00 0.00
2290031-1 2010 2 0 33200.00 0.00 0.00 33200.00
2290031-1 2010 3 0 -21050.00 0.00 -12150.00 -33200.00
2290621-1 2010 0 1 50000.00 0.00 -6251.00 43749.00
2290621-1 2010 1 0 50000.00 0.00 -18016.00 31984.00
2290621-1 2010 2 0 200000.00 0.00 -5621.00 194379.00
2290621-1 2010 3 0 -29648.00 0.00 -240464.00 -270112.00
2298827-3 2010 0 0 5000.00 0.00 0.00 5000.00
2298827-3 2010 1 0 -3500.00 0.00 -1500.00 -5000.00
2298827-3 2010 2 1 600.00 0.00 -600.00 0.00
2300513-1 2010 0 0 15000.00 0.00 0.00 15000.00
2300513-1 2010 1 1 -15000.00 0.00 0.00 -15000.00
2300723-6 2011 0 1 349.00 0.00 -349.00 0.00
2303116-3 2009 1 0 5000.00 0.00 0.00 5000.00
2303116-3 2009 2 1 -1076.00 0.00 -3924.00 -5000.00
2304054-1 2009 1 1 25000.00 0.00 0.00 25000.00
2304054-1 2009 2 0 -25000.00 0.00 0.00 -25000.00
2306011-5 2011 2 1 55000.00 0.00 -70000.00 -15000.00
2306011-5 2011 3 0 445000.00 0.00 -80881.00 364119.00
2306011-7 2011 3 1 200000.00 0.00 0.00 200000.00
2306375-1 2009 1 0 30000.00 0.00 -8445.00 21555.00
2306375-1 2009 2 0 220000.00 0.00 -10000.00 210000.00
2306375-1 2009 3 0 250000.00 0.00 -129638.00 120362.00
2306375-1 2009 4 1 0.00 0.00 -30950.00 -30950.00
2306375-1 2009 5 0 -22655.00 0.00 -298312.00 -320967.00
2308534-3 2013 0 0 100000.00 0.00 0.00 100000.00
2308534-3 2013 1 1 150000.00 0.00 -83655.00 66345.00
2309049-2 2010 4 1 41146.00 0.00 -41146.00 0.00
2316397-5 2011 1 0 40000.00 0.00 -1120.00 38880.00
2316397-5 2011 2 1 -29587.00 0.00 -9293.00 -38880.00
2316473-5 2012 0 0 300000.00 0.00 -10767.00 289233.00
2316473-5 2012 1 1 0.00 0.00 -1477.00 -1477.00
2316473-5 2012 2 0 -271476.00 0.00 -16280.00 -287756.00
2316791-2 2013 0 1 950000.00 0.00 -40193.00 909807.00
2316791-2 2013 1 0 -40000.00 0.00 -42971.00 -82971.00
2316865-2 2011 0 1 7479.00 0.00 -7479.00 0.00
2317448-4 2011 0 0 2.00 0.00 0.00 2.00
2317448-4 2011 1 1 -2.00 0.00 0.00 -2.00
2317448-5 2011 0 1 0.00 0.00 0.00 0.00
2317624-1 2010 0 0 5000.00 0.00 -525.00 4475.00
2317624-1 2010 1 1 -4475.00 0.00 0.00 -4475.00
2318478-2 2012 1 1 180.00 0.00 -180.00 0.00
2319062-2 2010 0 0 6050.00 0.00 0.00 6050.00
2319062-2 2010 1 1 0.00 0.00 -6050.00 -6050.00
2322034-1 2011 0 1 0.00 0.00 0.00 0.00
2325458-1 2010 0 0 60000.00 0.00 0.00 60000.00
2325458-1 2010 1 0 0.00 0.00 0.00 0.00
2325458-1 2010 3 1 43135.00 0.00 -63135.00 -20000.00
2325458-1 2010 4 0 11997.00 0.00 -51997.00 -40000.00
2325650-3 2010 0 0 10000.00 0.00 0.00 10000.00
2325650-3 2010 1 1 -10000.00 0.00 0.00 -10000.00
2329437-3 2011 0 0 25000.00 0.00 0.00 25000.00
2329437-3 2011 1 1 -25000.00 0.00 0.00 -25000.00
2330105-3 2013 0 1 250000.00 0.00 -70.00 249930.00
2330105-3 2013 1 0 0.00 0.00 -47420.00 -47420.00
2331389-2 2010 0 0 10000.00 0.00 -2000.00 8000.00
2331389-2 2010 1 0 190000.00 0.00 -5651.00 184349.00
2331389-2 2010 2 1 0.00 0.00 -2883.00 -2883.00
2331389-2 2010 3 0 98034.00 0.00 -287500.00 -189466.00
2331674-1 2010 1 1 1780.00 0.00 -1780.00 0.00
2337959-3 2010 0 0 5000.00 0.00 0.00 5000.00
2337959-3 2010 1 1 9490.00 0.00 -14490.00 -5000.00
2338244-2 2012 1 0 500000.00 0.00 -20610.00 479390.00
2338244-2 2012 2 1 1800000.00 0.00 -160267.00 1639733.00
2342308-1 2010 0 1 0.00 0.00 0.00 0.00
2344500-9 2013 0 1 665903.00 0.00 -665903.00 0.00
2348714-3 2012 1 1 0.00 0.00 0.00 0.00
2348714-4 2012 1 1 15001.00 0.00 0.00 15001.00
2348714-4 2012 2 0 -15001.00 0.00 0.00 -15001.00
2350460-1 2009 1 1 0.00 0.00 0.00 0.00
2353537-2 2012 0 0 10001.00 0.00 0.00 10001.00
2353537-2 2012 1 1 29999.00 0.00 -7841.00 22158.00
2353537-2 2012 2 0 460000.00 0.00 -37572.00 422428.00
2357829-1 2010 0 0 5543.00 0.00 -543.00 5000.00
2357829-1 2010 1 1 -5000.00 0.00 0.00 -5000.00
2359767-1 2011 2 1 30000.00 0.00 -23562.00 6438.00
2359767-1 2011 3 0 -6438.00 0.00 0.00 -6438.00
2364294-13 2014 0 1 10444.00 0.00 -10444.00 0.00
2365057-1 2010 0 0 10000.00 0.00 0.00 10000.00
2365057-1 2010 1 1 790000.00 0.00 -1816.00 788184.00
2365057-1 2010 2 0 0.00 0.00 -21125.00 -21125.00
2365057-1 2010 3 0 -777059.00 0.00 0.00 -777059.00
2365556-3 2011 0 0 50000.00 0.00 0.00 50000.00
2365556-3 2011 1 1 -50000.00 0.00 0.00 -50000.00
2366097-2 2010 0 1 6419.00 0.00 -3364.00 3055.00
2366097-2 2010 1 0 14553.00 0.00 -17608.00 -3055.00
2369243-1 2010 0 0 60000.00 0.00 0.00 60000.00
2369243-1 2010 1 1 -33485.00 0.00 -26515.00 -60000.00
2369243-2 2010 3 0 40000.00 0.00 0.00 40000.00
2369243-2 2010 4 1 -39250.00 0.00 -750.00 -40000.00
2370814-5 2012 0 1 10000.00 0.00 0.00 10000.00
2370814-5 2012 1 0 -10000.00 0.00 0.00 -10000.00
2374839-4 2010 0 1 4507.00 0.00 -4507.00 0.00
2375126-1 2010 0 1 20000.00 0.00 0.00 20000.00
2375126-1 2010 1 0 -20000.00 0.00 0.00 -20000.00
2375394-4 2010 1 1 30000.00 0.00 0.00 30000.00
2376846-3 2013 0 0 50000.00 0.00 0.00 50000.00
2376846-3 2013 1 1 -38050.00 0.00 -11950.00 -50000.00
2380549-8 2012 0 1 40000.00 0.00 -2446.00 37554.00
2380549-8 2012 1 0 -37554.00 0.00 0.00 -37554.00
2381526-5 2010 1 1 3113.00 0.00 -3113.00 0.00
2382272-2 2012 0 1 100000.00 0.00 -5021.00 94979.00
2382272-2 2012 1 0 -94979.00 0.00 0.00 -94979.00
2386400-2 2010 1 1 3608.00 0.00 -3608.00 0.00
2389250-2 2010 0 1 50000.00 0.00 0.00 50000.00
2389250-2 2010 1 0 -50000.00 0.00 0.00 -50000.00
2393581-4 2012 0 1 730.00 0.00 -730.00 0.00
2396278-2 2013 0 1 50000.00 0.00 -3010.00 46990.00
2396278-2 2013 1 0 -46690.00 0.00 -300.00 -46990.00
2402731-1 2010 0 1 0.00 0.00 0.00 0.00
2403278-4 2010 0 0 50000.00 0.00 0.00 50000.00
2403278-4 2010 1 0 50000.00 0.00 -10000.00 40000.00
2403278-4 2010 2 0 100000.00 0.00 -8375.00 91625.00
2403278-4 2010 3 0 -173835.00 0.00 -7790.00 -181625.00
2403278-4 2010 4 1 20000.00 0.00 -20000.00 0.00
2403749-1 2011 0 1 40000.00 0.00 0.00 40000.00
2403749-1 2011 1 0 -20000.00 0.00 -20000.00 -40000.00
2403975-2 2011 0 0 100000.00 0.00 -8361.00 91639.00
2403975-2 2011 1 1 220000.00 0.00 -9568.00 210432.00
2403975-2 2011 2 0 0.00 0.00 -48759.00 -48759.00
2403975-2 2011 3 0 -137718.00 0.00 -115594.00 -253312.00
2409256-1 2010 0 1 713.00 0.00 -713.00 0.00
2413796-5 2010 1 1 0.00 0.00 0.00 0.00
2415035-2 2010 1 1 0.00 0.00 0.00 0.00
2415305-1 2010 0 1 0.00 0.00 0.00 0.00
2419815-4 2012 1 1 180.00 0.00 -180.00 0.00
2422461-2 2011 2 1 369.00 0.00 -369.00 0.00
2423582-5 2014 0 1 0.00 0.00 0.00 0.00
2424133-2 2010 1 1 15000.00 0.00 -15000.00 0.00
2426438-8 2013 0 0 15001.00 0.00 0.00 15001.00
2426438-8 2013 1 1 -15001.00 0.00 0.00 -15001.00
2427573-1 2011 0 0 35000.00 0.00 -6413.00 28587.00
2427573-1 2011 1 0 805000.00 0.00 -140555.00 664445.00
2427573-1 2011 2 0 0.00 0.00 -122487.00 -122487.00
2427573-1 2011 3 1 -304557.00 0.00 -265988.00 -570545.00
2429084-2 2012 0 1 525.00 0.00 -525.00 0.00
2436461-1 2010 0 0 5000.00 0.00 -1401.00 3599.00
2436461-1 2010 1 0 70000.00 0.00 -1165.00 68835.00
2436461-1 2010 2 1 125000.00 0.00 -32150.00 92850.00
2436461-1 2010 3 0 -121159.00 0.00 -44125.00 -165284.00
2438336-1 2010 0 1 11700.00 0.00 -1700.00 10000.00
2438336-1 2010 1 0 22055.00 0.00 -32055.00 -10000.00
2441432-6 2011 0 0 40000.00 0.00 0.00 40000.00
2441432-6 2011 1 1 10000.00 0.00 -2933.00 7067.00
2441432-6 2011 2 0 -47067.00 0.00 0.00 -47067.00
2445661-2 2010 1 1 614.00 0.00 -614.00 0.00
2448541-3 2012 0 1 300.00 0.00 -300.00 0.00
2448541-5 2013 0 1 15001.00 0.00 -315.00 14686.00
2448541-5 2013 1 0 -14686.00 0.00 0.00 -14686.00
2451513-3 2010 2 1 50000.00 0.00 0.00 50000.00
2451513-3 2010 3 0 -8602.00 0.00 -41398.00 -50000.00
2452095-1 2012 0 0 310000.00 0.00 -67700.00 242300.00
2452095-1 2012 1 1 190000.00 0.00 -13391.00 176609.00
2452095-1 2012 2 0 0.00 0.00 -41310.00 -41310.00
2453436-4 2011 0 1 100000.00 0.00 -4000.00 96000.00
2453436-4 2011 1 0 700000.00 0.00 -4269.00 695731.00
2453436-4 2011 2 0 0.00 0.00 -23204.00 -23204.00
2453436-4 2011 3 0 -624268.00 0.00 -144259.00 -768527.00
2456515-5 2013 0 1 40001.00 0.00 0.00 40001.00
2456515-5 2013 1 0 -20001.00 0.00 -20000.00 -40001.00
2457343-1 2013 0 1 400000.00 0.00 -10810.00 389190.00
2457343-1 2013 1 0 0.00 0.00 -1200.00 -1200.00
2457343-1 2013 2 0 0.00 0.00 -15000.00 -15000.00
2460303-2 2010 1 1 8307.00 0.00 -8307.00 0.00
2461237-8 2013 0 0 40001.00 0.00 0.00 40001.00
2461237-8 2013 1 1 57910.00 0.00 -97911.00 -40001.00
2464030-1 2010 0 0 10000.00 0.00 -6475.00 3525.00
2464030-1 2010 1 0 240000.00 0.00 -1950.00 238050.00
2464030-1 2010 2 0 50000.00 0.00 -23120.00 26880.00
2464030-1 2010 4 0 0.00 0.00 -61931.00 -61931.00
2464030-1 2010 5 1 250000.00 0.00 -444688.00 -194688.00
2464178-12 2013 0 1 35000.00 0.00 -35000.00 0.00
2467231-2 2014 0 1 1.00 0.00 0.00 1.00
2471282-2 2012 0 1 0.00 0.00 0.00 0.00
2471282-3 2012 0 1 0.00 0.00 0.00 0.00
2471788-4 2011 0 1 0.00 0.00 0.00 0.00
2473109-2 2010 1 1 1875.00 0.00 -1875.00 0.00
2473797-2 2010 0 0 50000.00 0.00 0.00 50000.00
2473797-2 2010 1 1 -4272.00 0.00 -45728.00 -50000.00
2475348-2 2012 1 1 0.00 0.00 0.00 0.00
2477062-1 2010 0 1 5000.00 0.00 -2244.00 2756.00
2477062-1 2010 1 0 -2756.00 0.00 0.00 -2756.00
2478502-3 2012 0 0 100000.00 0.00 -5000.00 95000.00
2478502-3 2012 1 1 -83190.00 0.00 -11810.00 -95000.00
2482224-5 2011 0 0 1139.00 0.00 -5139.00 -4000.00
2482224-5 2011 1 1 4000.00 0.00 0.00 4000.00
2488443-2 2012 0 1 0.00 0.00 0.00 0.00
2488443-3 2012 0 0 40000.00 0.00 0.00 40000.00
2488443-3 2012 1 0 60000.00 0.00 -3400.00 56600.00
2488443-3 2012 2 1 215000.00 0.00 -38821.00 176179.00
2488859-4 2011 1 1 57888.00 0.00 -57888.00 0.00
2492047-2 2011 1 1 1399.00 0.00 -1399.00 0.00
2492047-3 2011 1 0 850000.00 0.00 -48533.00 801467.00
2492047-3 2011 2 0 100000.00 0.00 -126011.00 -26011.00
2492047-3 2011 3 1 -6862.00 0.00 -768594.00 -775456.00
2495454-4 2013 1 1 0.00 0.00 0.00 0.00
2499612-3 2011 0 0 520000.00 0.00 -9720.00 510280.00
2499612-3 2011 1 0 270000.00 0.00 -149650.00 120350.00
2499612-3 2011 2 0 0.00 0.00 -4670.00 -4670.00
2499612-3 2011 3 1 529040.00 0.00 -1155000.00 -625960.00
2499612-4 2011 0 1 55000.00 0.00 -5000.00 50000.00
2499612-4 2011 2 0 -50000.00 0.00 0.00 -50000.00
2500737-12 2011 1 1 0.00 0.00 0.00 0.00
2503391-2 2011 0 1 15000.00 0.00 0.00 15000.00
2503391-2 2011 1 0 -15000.00 0.00 0.00 -15000.00
2506311-2 2010 2 0 100000.00 0.00 -21790.00 78210.00
2506311-2 2010 3 0 0.00 0.00 -2180.00 -2180.00
2506311-2 2010 4 1 50000.00 0.00 -48909.00 1091.00
2506311-2 2010 5 0 150000.00 0.00 -10000.00 140000.00
2508338-6 2014 0 1 1.00 0.00 0.00 1.00
2514544-2 2012 0 1 0.00 0.00 0.00 0.00
2514544-3 2012 0 0 600000.00 0.00 0.00 600000.00
2514544-3 2012 2 1 -360000.00 0.00 0.00 -360000.00
2514544-4 2012 0 0 600000.00 0.00 0.00 600000.00
2514544-4 2012 2 1 -360000.00 0.00 -5578.00 -365578.00
2514544-6 2012 0 1 1855000.00 0.00 -233076.00 1621924.00
2514544-6 2012 1 0 -141673.00 0.00 -1480251.00 -1621924.00
2514544-7 2012 0 0 150000.00 0.00 -1200.00 148800.00
2514544-7 2012 1 1 -148800.00 0.00 0.00 -148800.00
2514680-2 2012 0 1 477.00 0.00 -477.00 0.00
2517667-1 2010 1 0 40000.00 0.00 -1120.00 38880.00
2517667-1 2010 2 1 60000.00 0.00 -11875.00 48125.00
2517667-1 2010 3 0 -87005.00 0.00 0.00 -87005.00
2518709-7 2014 0 1 0.00 0.00 0.00 0.00
2520814-2 2012 2 1 25000.00 0.00 -4050.00 20950.00
2521743-2 2010 0 0 5000.00 0.00 0.00 5000.00
2521743-2 2010 1 1 -5000.00 0.00 0.00 -5000.00
2522427-3 2011 1 1 352.00 0.00 -352.00 0.00
2522427-4 2011 1 1 2100.00 0.00 -2100.00 0.00
2523257-5 2012 0 1 429.00 0.00 -429.00 0.00
2523257-6 2012 0 1 0.00 0.00 0.00 0.00
2524229-3 2012 0 1 500.00 0.00 -500.00 0.00
2524229-4 2012 0 1 0.00 0.00 0.00 0.00
2532057-8 2014 0 1 3540.00 0.00 -3540.00 0.00
2532812-2 2012 0 1 269.00 0.00 -269.00 0.00
2543840-3 2013 1 1 0.00 0.00 0.00 0.00
2544582-2 2012 0 1 0.00 0.00 0.00 0.00
2545033-1 2010 0 0 20000.00 0.00 -4985.00 15015.00
2545033-1 2010 1 0 30000.00 0.00 0.00 30000.00
2545033-1 2010 2 1 -45015.00 0.00 0.00 -45015.00
2545475-1 2010 1 1 1500.00 0.00 -1500.00 0.00
2548776-3 2011 0 1 0.00 0.00 0.00 0.00
2550419-7 2013 0 1 20000.00 0.00 -1192.00 18808.00
2550419-7 2013 1 0 -8808.00 0.00 -10000.00 -18808.00
2550419-8 2013 0 1 20000.00 0.00 -442.00 19558.00
2550419-8 2013 1 0 -9558.00 0.00 -10000.00 -19558.00
2551401-1 2011 0 1 0.00 0.00 0.00 0.00
2554206-2 2013 0 1 0.00 0.00 0.00 0.00
2554206-3 2013 0 0 200000.00 0.00 -57029.25 142970.75
2554206-3 2013 1 1 300000.00 0.00 -88766.63 211233.37
2554206-4 2013 0 1 50000.00 0.00 -11601.25 38398.75
2554206-4 2013 1 0 150000.00 0.00 -45234.38 104765.62
2555040-4 2012 1 1 40000.00 0.00 -5585.00 34415.00
2555040-4 2012 2 0 -34415.00 0.00 0.00 -34415.00
2556307-3 2010 1 1 7208.00 0.00 -7208.00 0.00
2559855-1 2010 0 0 15000.00 0.00 0.00 15000.00
2559855-1 2010 1 1 -13500.00 0.00 -1500.00 -15000.00
2560842-4 2011 0 1 700.00 0.00 -700.00 0.00
2560899-1 2010 2 1 12076.00 0.00 -12076.00 0.00
2563232-5 2012 1 1 0.00 0.00 0.00 0.00
2564014-1 2010 0 1 6000.00 0.00 -745.00 5255.00
2564014-1 2010 1 0 -5255.00 0.00 0.00 -5255.00
2564425-2 2011 0 0 8000.00 0.00 -8000.00 0.00
2564425-2 2011 1 1 46180.00 0.00 -46180.00 0.00
2564425-2 2011 2 0 50820.00 0.00 0.00 50820.00
2564425-2 2011 3 0 109945.00 0.00 -160765.00 -50820.00
2564792-4 2011 1 1 25532.00 0.00 -25532.00 0.00
2565214-4 2012 0 0 40000.00 0.00 -4250.00 35750.00
2565214-4 2012 1 1 -35270.00 0.00 -480.00 -35750.00
2569251-3 2011 1 1 2304.00 0.00 -2304.00 0.00
2570584-2 2011 0 1 180.00 0.00 -180.00 0.00
2571110-1 2011 1 1 1059.00 0.00 -1059.00 0.00
2574934-7 2011 0 1 1250000.00 0.00 -60000.00 1190000.00
2574934-7 2011 1 0 0.00 0.00 -203524.20 -203524.20
2574934-7 2011 2 0 -900000.00 0.00 -35384.43 -935384.43
2574934-7 2011 3 0 -40000.00 0.00 -15891.00 -55891.00
2575584-1 2010 1 1 1000.00 0.00 -1000.00 0.00
2579725-3 2013 0 1 0.00 0.00 0.00 0.00
2583573-3 2013 0 0 40000.00 0.00 -1200.00 38800.00
2583573-3 2013 1 1 -31221.00 0.00 -7579.00 -38800.00
2586002-2 2012 1 1 3311.00 0.00 -3311.00 0.00
2586728-1 2011 2 1 320000.00 0.00 -66689.00 253311.00
2586728-1 2011 3 0 510000.00 0.00 -44640.00 465360.00
2587571-2 2011 0 1 0.00 0.00 0.00 0.00
2594087-5 2013 0 0 15001.00 0.00 0.00 15001.00
2594087-5 2013 1 1 11758.00 0.00 -26759.00 -15001.00
2595329-2 2011 0 0 500000.00 0.00 0.00 500000.00
2595329-2 2011 1 0 400000.00 0.00 -93152.00 306848.00
2595329-2 2011 3 1 -305223.00 0.00 -501625.00 -806848.00
2595586-1 2010 0 1 2350.00 0.00 -2350.00 0.00
2596962-3 2012 0 0 20000.00 0.00 -6160.00 13840.00
2596962-3 2012 1 1 6440.00 0.00 -20280.00 -13840.00
2597026-1 2012 1 1 0.00 0.00 0.00 0.00
2597044-2 2011 3 1 110000.00 0.00 -6220.00 103780.00
2597044-2 2011 4 0 -88780.00 0.00 -15000.00 -103780.00
2598157-2 2011 0 1 0.00 0.00 0.00 0.00
2602399-1 2010 0 0 2000.00 0.00 0.00 2000.00
2602399-1 2010 1 1 -2000.00 0.00 0.00 -2000.00
2604851-3 2011 1 1 8236.00 0.00 -8236.00 0.00
2605964-2 2013 1 1 40000.00 0.00 0.00 40000.00
2605964-2 2013 2 0 -25000.00 0.00 0.00 -25000.00
2605964-3 2013 1 1 40000.00 0.00 0.00 40000.00
2605964-3 2013 2 0 -25000.00 0.00 0.00 -25000.00
2606065-2 2011 1 1 5000.00 0.00 -5000.00 0.00
2609704-2 2011 1 1 516.00 0.00 -516.00 0.00
2610690-12 2012 0 0 10001.00 0.00 0.00 10001.00
2610690-12 2012 1 1 -10001.00 0.00 0.00 -10001.00
2612766-6 2013 0 1 819.00 0.00 -819.00 0.00
2618908-5 2013 0 1 20000.00 0.00 0.00 20000.00
2618908-5 2013 1 0 -20000.00 0.00 0.00 -20000.00
2619450-5 2013 0 1 40000.00 0.00 -1242.00 38758.00
2619450-5 2013 1 0 -38258.00 0.00 -500.00 -38758.00
2621356-2 2011 0 1 0.00 0.00 0.00 0.00
2621499-3 2012 0 1 0.00 0.00 0.00 0.00
2621499-4 2012 0 1 2731.00 0.00 -2731.00 0.00
2621798-8 2013 0 0 1.00 0.00 0.00 1.00
2621798-8 2013 1 1 -1.00 0.00 0.00 -1.00
2622131-1 2010 0 0 15000.00 0.00 0.00 15000.00
2622131-1 2010 1 1 -15000.00 0.00 0.00 -15000.00
2627328-2 2011 0 1 0.00 0.00 0.00 0.00
2628172-1 2010 1 1 0.00 0.00 0.00 0.00
2631961-4 2013 0 0 15001.00 0.00 0.00 15001.00
2631961-4 2013 1 1 -15001.00 0.00 0.00 -15001.00
2634446-1 2010 1 1 3800.00 0.00 -3800.00 0.00
2635474-4 2013 1 1 0.00 0.00 0.00 0.00
2636178-4 2011 1 1 40000.00 0.00 -9766.00 30234.00
2636178-4 2011 2 0 -30234.00 0.00 0.00 -30234.00
2636178-5 2011 1 1 0.00 0.00 0.00 0.00
2637004-3 2013 0 1 200000.00 0.00 -173672.00 26328.00
2637004-3 2013 1 0 -17128.00 0.00 -9200.00 -26328.00
2637004-4 2013 1 1 400000.00 0.00 -30066.00 369934.00
2637040-3 2013 2 1 15001.00 0.00 0.00 15001.00
2638306-1 2010 0 1 20000.00 0.00 0.00 20000.00
2638306-1 2010 1 0 140000.00 0.00 -765.00 139235.00
2638306-1 2010 2 0 -56635.00 0.00 -5405.00 -62040.00
2638306-1 2010 3 0 -70695.00 0.00 -26500.00 -97195.00
2639179-6 2011 1 1 962.00 0.00 -962.00 0.00
2640331-1 2010 0 0 105000.00 0.00 -30000.00 75000.00
2640331-1 2010 1 1 -55000.00 0.00 0.00 -55000.00
2640331-1 2010 3 0 16084.00 0.00 -36084.00 -20000.00
2640477-2 2011 0 1 13890.00 0.00 -13890.00 0.00
2643320-2 2014 0 1 0.00 0.00 0.00 0.00
2643320-3 2013 1 1 300000.00 0.00 -37477.00 262523.00
2645912-5 2012 0 0 10001.00 0.00 0.00 10001.00
2645912-5 2012 1 0 -10001.00 0.00 0.00 -10001.00
2645912-5 2012 2 1 12610.00 0.00 -12610.00 0.00
2646214-5 2012 0 1 0.00 0.00 0.00 0.00
2646552-2 2012 0 1 65201.00 0.00 -65201.00 0.00
2649401-4 2014 0 1 2136.00 0.00 -2136.00 0.00
2649458-3 2012 0 1 160.00 0.00 -160.00 0.00
2651343-4 2012 0 1 10000.00 0.00 0.00 10000.00
2651343-4 2012 1 0 -10000.00 0.00 0.00 -10000.00
2652193-2 2011 0 1 11000.00 0.00 0.00 11000.00
2652193-2 2011 1 0 -10500.00 0.00 -500.00 -11000.00
2653760-3 2011 0 0 100000.00 0.00 0.00 100000.00
2653760-3 2011 1 0 150000.00 0.00 -38600.00 111400.00
2653760-3 2011 2 1 -56400.00 0.00 -155000.00 -211400.00
2653760-3 2011 3 0 31405.00 0.00 -31405.00 0.00
2657082-2 2010 1 1 2356.00 0.00 -2356.00 0.00
2658302-1 2010 1 1 0.00 0.00 0.00 0.00
2658302-2 2010 1 1 4685.00 0.00 -4685.00 0.00
2659217-2 2011 0 1 5000.00 0.00 0.00 5000.00
2659217-2 2011 1 0 -5000.00 0.00 0.00 -5000.00
2659217-3 2011 0 0 5000.00 0.00 -3194.00 1806.00
2659217-3 2011 1 1 106025.00 0.00 -55281.00 50744.00
2659217-3 2011 3 0 134074.00 0.00 -1285.00 132789.00
2660910-1 2010 0 0 5000.00 0.00 0.00 5000.00
2660910-1 2010 1 1 -5000.00 0.00 0.00 -5000.00
2666252-3 2014 0 1 0.00 0.00 0.00 0.00
2668905-4 2013 0 1 15001.00 0.00 0.00 15001.00
2668905-4 2013 1 0 -15001.00 0.00 0.00 -15001.00
2669895-1 2011 0 1 1061.00 0.00 -1061.00 0.00
2671256-1 2013 0 1 3355.00 0.00 -3355.00 0.00
2674674-3 2013 0 1 315.00 0.00 -315.00 0.00
2674674-4 2013 0 1 0.00 0.00 0.00 0.00
2677361-2 2011 0 1 30000.00 0.00 0.00 30000.00
2677361-2 2011 1 0 -29300.00 0.00 -700.00 -30000.00
2678796-1 2010 1 1 0.00 0.00 0.00 0.00
2678796-2 2010 1 0 105000.00 0.00 -1120.00 103880.00
2678796-2 2010 2 1 -103880.00 0.00 0.00 -103880.00
2680581-2 2010 1 0 60000.00 0.00 -4687.00 55313.00
2680581-2 2010 2 1 -55313.00 0.00 0.00 -55313.00
2680581-2 2010 3 0 50000.00 0.00 0.00 50000.00
2680909-2 2012 0 1 35864.00 0.00 -35864.00 0.00
2680909-3 2012 0 1 150000.00 0.00 -23600.00 126400.00
2680909-3 2012 1 0 150000.00 0.00 -12623.00 137377.00
2680909-3 2012 2 0 200000.00 0.00 -193275.00 6725.00
2680909-4 2012 0 1 150000.00 0.00 -20752.00 129248.00
2680909-4 2012 1 0 0.00 0.00 -47000.00 -47000.00
2680909-4 2012 2 0 8137.00 0.00 -90385.00 -82248.00
2684475-2 2010 0 1 3639.00 0.00 -3639.00 0.00
2684662-3 2013 0 1 21221.00 0.00 -21221.00 0.00
2685484-5 2012 1 1 150000.00 0.00 -45248.00 104752.00
2685484-5 2012 2 0 49063.00 0.00 -153815.00 -104752.00
2686328-2 2013 1 1 0.00 0.00 0.00 0.00
2687925-2 2012 0 1 350.00 0.00 -350.00 0.00
2690169-2 2011 0 0 10000.00 0.00 0.00 10000.00
2690169-2 2011 1 1 290000.00 0.00 -123900.00 166100.00
2690169-2 2011 2 0 200000.00 0.00 -46421.88 153578.12
2690169-2 2011 3 0 -213997.12 0.00 -115681.00 -329678.12
2690616-4 2012 0 1 10001.00 0.00 0.00 10001.00
